Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore,Breakdown,100-metres,long-jump,shot-put,high-jump,400-metres,110-metres-hurdles,discus-throw,pole-vault,javelin-throw,1500-metres,100-metres_wind,long-jump_wind,110-metres-hurdles_wind
11,8784,TomPAPPAS,06SEP1976,USA,1,"PaloAlto,CA(USA)",22JUN2003,1248, 10.78/+0.2 - 7.96/+1.4 - 16.28 - 2.17 - 48.22 / 14.13/+1.7 - 45.84 - 5.20 - 60.77 - 4:48.12 ,10.78,7.96,16.28,2.17,48.22,14.13,45.84,5.20,60.77,4:48.12,+0.2,+1.4,+1.7
12,8735,EduardHÄMÄLÄINEN,21JAN1969,BLR,1,Götzis(AUT),29MAY1994,1240, 10.50/+2.1 - 7.26/+1.0 - 16.05 - 2.11 - 47.63 / 13.82/-3.0 - 49.70 - 4.90 - 60.32 - 4:35.09 ,10.50,7.26,16.05,2.11,47.63,13.82,49.70,4.90,60.32,4:35.09,+2.1,+1.0,-3.0
13,8730,JürgenHINGSEN,15APR1958,FRG,2,"Neckarstadion,Stuttgart(GER)",28AUG1986,1240, 10.87/+2.5 - 7.89/+2.8 - 16.46 - 2.12 - 48.79 / 14.52/-0.3 - 48.42 - 4.60 - 64.38 - 4:21.61 ,10.87,7.89,16.46,2.12,48.79,14.52,48.42,4.60,64.38,4:21.61,+2.5,+2.8,-0.3
14,8725,DmitriyKARPOV,23JUL1981,KAZ,3,"OlympicStadium,Athina(GRE)",24AUG2004,1239, 10.50/+2.2 - 7.81/-0.9 - 15.93 - 2.09 - 46.81 / 13.97/+1.5 - 51.65 - 4.60 - 55.54 - 4:38.11 ,10.50,7.81,15.93,2.09,46.81,13.97,51.65,4.60,55.54,4:38.11,+2.2,-0.9,+1.5
15,8706,FrankBUSEMANN,26FEB1975,GER,2,"OlympicStadium,Atlanta,GA(USA)",01AUG1996,1236, 10.60/ - 8.07/+0.8 - 13.60 - 2.04 - 48.34 / 13.47/+0.3 - 45.04 - 4.80 - 66.86 - 4:31.41 ,10.60,8.07,13.60,2.04,48.34,13.47,45.04,4.80,66.86,4:31.41,,+0.8,+0.3
16,8705,DaveJOHNSON,07APR1963,USA,1,"Azusa,CA(USA)",24APR1992,1236, 10.96/+0.4 - 7.52/+4.5 - 14.61 - 2.04 - 48.19 / 14.17/+0.3 - 49.88 - 5.28 - 66.96 - 4:29.38 ,10.96,7.52,14.61,2.04,48.19,14.17,49.88,5.28,66.96,4:29.38,+0.4,+4.5,+0.3
17,8694,ChrisHUFFINS,19APR1970,USA,1,"NewOrleans,LA(USA)",20JUN1998,1234, 10.31/+3.5 - 7.76/+2.5 - 15.43 - 2.18 - 49.02 / 14.02/+1.0 - 53.22 - 4.60 - 61.59 - 4:59.43 ,10.31,7.76,15.43,2.18,49.02,14.02,53.22,4.60,61.59,4:59.43,+3.5,+2.5,+1.0
18,8691,NiklasKAUL,11FEB1998,GER,1,"KhalifaInternationalStadium,Doha(QAT)",04OCT2019,1234, 11.27/+0.3 - 7.19/+0.6 - 15.10 - 2.02 - 48.48 / 14.64/+0.7 - 49.20 - 5.00 - 79.05 - 4:15.70 ,11.27,7.19,15.10,2.02,48.48,14.64,49.20,5.00,79.05,4:15.70,+0.3,+0.6,+0.7
19,8676,SiegfriedWENTZ,07MAR1960,FRG,3,"Neckarstadion,Stuttgart(GER)",28AUG1986,1231, 10.83/+2.0 - 7.60/+0.3 - 15.45 - 2.12 - 47.57 / 14.07/-0.3 - 45.66 - 4.90 - 65.34 - 4:35.00 ,10.83,7.60,15.45,2.12,47.57,14.07,45.66,4.90,65.34,4:35.00,+2.0,+0.3,-0.3
20,8670,MichaelSCHRADER,01JUL1987,GER,2,"Luzhniki,Moskva(RUS)",11AUG2013,1230, 10.73/-0.5 - 7.85/+0.2 - 14.56 - 1.99 - 47.66 / 14.29/+0.4 - 46.44 - 5.00 - 65.67 - 4:25.38 ,10.73,7.85,14.56,1.99,47.66,14.29,46.44,5.00,65.67,4:25.38,-0.5,+0.2,+0.4
